Model,MAE,RMSE,R2
Linear Regression,58201.18587794908,230328.97360872736,0.9999973636047818
Decision Tree,425897.44499532465,2375325.412617307,0.9997196118850353
Random Forest,397226.79664116155,2492262.326676782,0.9996913254127756
Gradient Boosting,736436.5393729819,3672312.3091319446,0.9993298182651322
