Year,Predicted_Population,Predicted_Population_Billion
2026,8264743175.74371,8.26474317574371
2027,8335992615.06184,8.33599261506184
2028,8405999593.70345,8.40599959370345
2029,8474808990.076509,8.47480899007651
2030,8542417392.426524,8.542417392426524
2031,8608803318.687487,8.608803318687487
2032,8673938639.307405,8.673938639307405
2033,8737792895.887512,8.737792895887512
2034,8800334934.833178,8.800334934833177
2035,8861533526.210651,8.861533526210652
